block,method,attack,rho,alpha,spoof,seed,round,accuracy,f1,precision,recall
amftas,amfta_s,label_flipping,0.20,0.50,0.00,123,21,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.20,0.50,0.00,123,22,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.20,0.50,0.00,123,23,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.20,0.50,0.00,123,24,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.20,0.50,0.00,123,25,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.20,0.50,0.00,456,1,0.61705,0.7631798645681952,0.61705,1.0
amftas,amfta_s,label_flipping,0.20,0.50,0.00,456,2,0.61705,0.7631798645681952,0.61705,1.0
amftas,amfta_s,label_flipping,0.20,0.50,0.00,456,3,0.6238,0.7663789356020617,0.6212433929020891,1.0
amftas,amfta_s,label_flipping,0.20,0.50,0.00,456,4,0.72635,0.8185043939645166,0.6927697316717188,1.0
amftas,amfta_s,label_flipping,0.20,0.50,0.00,456,5,0.99755,0.9980186810076422,0.996045197740113,1.0
amftas,amfta_s,label_flipping,0.20,0.50,0.00,456,6,0.98585,0.9886641297816945,0.9775823827629911,1.0
amftas,amfta_s,label_flipping,0.20,0.50,0.00,456,7,0.98725,0.9897742310622769,0.9797554779295015,1.0
amftas,amfta_s,label_flipping,0.20,0.50,0.00,456,8,0.99965,0.9997164729231641,0.9994331065759637,1.0
amftas,amfta_s,label_flipping,0.20,0.50,0.00,456,9,0.9995,0.9995950105297262,0.9991903489595985,1.0
amftas,amfta_s,label_flipping,0.20,0.50,0.00,456,10,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.20,0.50,0.00,456,11,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.20,0.50,0.00,456,12,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.20,0.50,0.00,456,13,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.20,0.50,0.00,456,14,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.20,0.50,0.00,456,15,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.20,0.50,0.00,456,16,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.20,0.50,0.00,456,17,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.20,0.50,0.00,456,18,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.20,0.50,0.00,456,19,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.20,0.50,0.00,456,20,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.20,0.50,0.00,456,21,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.20,0.50,0.00,456,22,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.20,0.50,0.00,456,23,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.20,0.50,0.00,456,24,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.20,0.50,0.00,456,25,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.30,0.50,0.00,42,1,0.99915,0.9993125480205426,0.9986260405722137,1.0
amftas,amfta_s,label_flipping,0.30,0.50,0.00,42,2,0.90375,0.9277321019634343,0.8652055178208808,1.0
amftas,amfta_s,label_flipping,0.30,0.50,0.00,42,3,0.99995,0.9999595354671631,0.9999190742089504,1.0
amftas,amfta_s,label_flipping,0.30,0.50,0.00,42,4,0.99915,0.9993125480205426,0.9986260405722137,1.0
